delta,Error,std,itterations
0.0,0.0007694605255576954,0.052457511835647244,15.0
0.01,0.002050412511913638,0.06030829348973945,13.6412
0.02,0.0026073431874346666,0.07561353901242311,13.9494
0.03,0.0035960667454184546,0.10615940926613555,14.2122
0.04,0.00816128733924913,0.37663203470931145,14.5236
0.05,0.014422318283786009,0.8385685353385185,14.5676
0.06,0.02102687963451518,0.8482626108554604,14.5194
0.07,0.03825205144626343,1.6481398552740911,14.339
0.08,0.06559708739392814,5.300622668575515,14.4902
0.09,0.308731069488448,20.198410388934526,14.8412
0.1,0.7483212367460619,25.970754792410563,14.828
