delta,Error,std,itterations
0.0,0.00040996423371437437,0.0352757240730978,15.0
0.01,0.0006023702885364686,0.04430767596129353,13.183
0.02,0.0022593543159523466,0.06325811449228812,13.4456
0.03,0.001708377276175297,0.09585694846349475,13.9516
0.04,0.003352419948970804,0.24669429019646272,14.2768
0.05,0.005418568148878258,0.7925342986463303,14.319
0.06,0.014835410714778112,0.828208220075343,14.3066
0.07,0.028564060012952273,1.6136928214073851,13.9928
0.08,0.061457466662628635,2.453614818434368,14.3286
0.09,0.2998724636670286,17.23533195434239,14.779
0.1,0.9173593004579307,23.977320653153864,14.7842
